                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     62,               0.025488,               0.029955,               0.011557,                      0,                0.96805,                0.95672,                0.98885,                0.81226,                0.93763,                0.92102,                0.95105,                0.57424,               0.018379,                 0.0152,              0.0031537,                      0,               0.007255,               0.007255,               0.007255
                     63,               0.025238,               0.029351,               0.011514,                      0,                0.98269,                0.96318,                0.99121,                0.83633,                0.95768,                0.93846,                0.96129,                0.59835,               0.017708,               0.014343,               0.002939,                      0,                0.00721,                0.00721,                0.00721
                     64,               0.025041,               0.028681,               0.011024,                      0,                0.97793,                0.96466,                 0.9911,                0.83739,                0.96025,                0.93685,                0.96428,                 0.6027,                0.01764,               0.014186,              0.0030363,                      0,               0.007165,               0.007165,               0.007165
                     65,               0.024379,               0.027495,               0.010611,                      0,                 0.9685,                0.95617,                0.98498,                0.83139,                0.95566,                0.93441,                0.96116,                0.59483,                 0.0177,               0.014201,              0.0031214,                      0,                0.00712,                0.00712,                0.00712
                     66,               0.025626,               0.029241,               0.011043,                      0,                0.98297,                  0.959,                0.99172,                0.83251,                0.96627,                0.93685,                0.96764,                0.61507,               0.017808,               0.013816,              0.0029192,                      0,               0.007075,               0.007075,               0.007075
                     67,               0.024675,               0.028697,               0.010564,                      0,                0.97902,                0.96755,                 0.9916,                0.83166,                0.95681,                0.93953,                0.95964,                0.60815,               0.017477,                0.01385,              0.0029144,                      0,                0.00703,                0.00703,                0.00703
                     68,               0.025731,               0.029847,                0.01158,                      0,                0.97599,                0.95775,                0.98848,                 0.8305,                 0.9585,                0.93968,                0.96467,                0.60221,               0.017549,               0.013978,               0.003077,                      0,               0.006985,               0.006985,               0.006985
                     69,               0.025551,               0.029244,               0.011469,                      0,                0.97436,                0.96722,                0.99068,                0.82196,                0.95563,                0.94628,                0.96466,                0.60383,               0.017152,               0.013951,              0.0030034,                      0,                0.00694,                0.00694,                0.00694
                     70,                0.02446,               0.028037,               0.010856,                      0,                0.96942,                0.95622,                0.98994,                0.84063,                0.94854,                0.92931,                 0.9586,                0.60496,               0.016916,               0.013856,              0.0029267,                      0,               0.006895,               0.006895,               0.006895
                     71,               0.024098,               0.028616,               0.010814,                      0,                  0.979,                0.97031,                0.99294,                0.83977,                0.96673,                0.94958,                0.97141,                0.62054,               0.016748,                0.01372,              0.0028417,                      0,                0.00685,                0.00685,                0.00685
                     72,               0.024886,               0.029139,               0.011476,                      0,                0.98144,                 0.9623,                0.99111,                0.83932,                0.95708,                 0.9352,                 0.9595,                0.59765,               0.016407,                0.01401,              0.0028643,                      0,               0.006805,               0.006805,               0.006805
                     73,               0.024954,               0.027815,               0.011046,                      0,                0.97786,                0.96607,                0.99093,                0.83944,                0.96584,                0.95146,                0.97196,                0.62649,               0.016552,               0.013509,              0.0028812,                      0,                0.00676,                0.00676,                0.00676
                     74,               0.024941,               0.028525,               0.011154,                      0,                0.97804,                0.96183,                0.99015,                0.84096,                0.96617,                0.94222,                0.97014,                0.61778,               0.016451,               0.013792,              0.0028736,                      0,               0.006715,               0.006715,               0.006715
                     75,               0.023982,               0.028488,               0.010414,                      0,                0.97621,                0.96702,                0.99106,                0.84104,                0.95726,                0.94769,                0.96879,                0.61578,               0.016564,               0.013446,              0.0028299,                      0,                0.00667,                0.00667,                0.00667
                     76,               0.024724,               0.029288,               0.010853,                      0,                0.98157,                0.96041,                0.99123,                0.84153,                0.96086,                0.94015,                0.96923,                0.61874,               0.016854,               0.013607,              0.0028386,                      0,               0.006625,               0.006625,               0.006625
                     77,               0.024506,               0.029193,               0.011125,                      0,                0.96927,                0.97172,                0.99165,                 0.8574,                0.96376,                0.93989,                0.96566,                0.62551,               0.016125,               0.013305,              0.0027925,                      0,                0.00658,                0.00658,                0.00658
                     78,               0.025187,               0.028397,               0.011093,                      0,                0.97135,                0.95869,                0.98993,                 0.8375,                0.95819,                0.93497,                0.96505,                0.61419,               0.016612,               0.013372,              0.0029469,                      0,               0.006535,               0.006535,               0.006535
                     79,               0.024361,               0.028862,               0.010904,                      0,                0.97468,                0.96795,                0.99146,                0.84247,                0.96578,                0.95052,                0.97022,                0.61741,                 0.0164,               0.013356,              0.0028109,                      0,                0.00649,                0.00649,                0.00649
                     80,               0.024139,               0.028743,               0.010908,                      0,                0.98409,                  0.962,                0.99221,                0.85081,                0.96619,                0.94272,                0.96901,                0.62628,               0.016124,               0.013077,              0.0026957,                      0,               0.006445,               0.006445,               0.006445
                     81,               0.023782,               0.027884,               0.011032,                      0,                0.98029,                0.96795,                 0.9928,                0.84872,                0.96716,                0.94385,                0.96813,                0.61962,               0.016034,               0.013512,               0.002837,                      0,                 0.0064,                 0.0064,                 0.0064
                     82,               0.024098,               0.028258,               0.010974,                      0,                 0.9822,                0.97549,                0.99313,                0.84774,                0.96334,                0.95352,                0.97006,                0.63382,                0.01599,               0.012897,              0.0027319,                      0,               0.006355,               0.006355,               0.006355
                     83,               0.024307,               0.027348,               0.010673,                      0,                0.98279,                0.96904,                0.99186,                0.84846,                0.96582,                0.94536,                0.96919,                0.62402,               0.016274,               0.013114,              0.0027872,                      0,                0.00631,                0.00631,                0.00631
                     84,               0.024447,               0.028266,               0.010574,                      0,                0.98107,                0.97707,                0.99311,                0.85168,                0.96332,                0.95806,                0.97181,                0.63329,               0.016316,               0.013185,              0.0027404,                      0,               0.006265,               0.006265,               0.006265
                     85,               0.023447,               0.027094,               0.010359,                      0,                0.97964,                0.97507,                0.99304,                0.86038,                 0.9616,                0.95596,                0.97193,                0.63786,               0.016099,               0.012608,              0.0026703,                      0,                0.00622,                0.00622,                0.00622
                     86,               0.023856,               0.026985,               0.010807,                      0,                  0.983,                0.97879,                0.99355,                0.85984,                0.97297,                0.96041,                0.97654,                0.64938,               0.015442,               0.012626,              0.0026444,                      0,               0.006175,               0.006175,               0.006175
